,unidad_academica,nro_inscripcion,sexo,nacionalidad,fecha_nac_alumno,fecha_egr_sec
128,FCEQN,FCEQN-4340,1,1.0,1989,2011
129,FCEQN,FCEQN-4359,1,1.0,1991,2008
130,FCEQN,FCEQN-4371,1,1.0,1989,2011
131,FCEQN,FCEQN-4379,2,1.0,1989,2011
132,FCEQN,FCEQN-4392,2,1.0,1989,2007
133,FCEQN,FCEQN-4411,2,1.0,1990,2008
134,FCEQN,FCEQN-4455,1,1.0,1991,2008
135,FCEQN,FCEQN-4463,1,1.0,1989,2007
136,FCEQN,FCEQN-4551,2,1.0,1989,2007
137,FCEQN,5849,2,1.0,1989,2011
138,FCEQN,FCEQN-4593,2,1.0,1991,2011
139,FCEQN,FCEQN-4631,1,1.0,1990,2011
140,FCEQN,FCEQN-4690,1,1.0,1989,2011
141,FCEQN,FCEQN-4700,2,1.0,1991,2011
142,FCEQN,FCEQN-4711,2,1.0,1991,2009
143,FCEQN,FCEQN-4749,2,1.0,1991,2009
144,FCEQN,FCEQN-4751,1,1.0,1992,2011
145,FCEQN,FCEQN-4864,1,1.0,202,2011
146,FCEQN,FCEQN-4867,2,1.0,1991,2011
147,FCEQN,FCEQN-4870,2,1.0,1991,2011
148,FCEQN,FCEQN-4902,2,1.0,1991,2011
149,FCEQN,FCEQN-4904,1,1.0,1990,2011
150,FCEQN,728,1,1.0,1973,2011
151,FCEQN,FCEQN-4951,2,1.0,1991,2009
152,FCEQN,FCEQN-4987,1,1.0,1991,2011
153,FCEQN,FCEQN-5011,1,1.0,1992,2009
154,FCEQN,FCEQN-5025,2,1.0,1992,2009
155,FCEQN,FCEQN-5105,1,1.0,1990,2010
156,FCEQN,FCEQN-5110,1,1.0,1991,2011
157,FCEQN,FCEQN-5111,2,1.0,1993,2011
158,FCEQN,FCEQN-5113,2,1.0,1993,2010
159,FCEQN,FCEQN-5115,2,1.0,1993,2011
160,FCEQN,FCEQN-5116,2,1.0,1978,2011
161,FCEQN,FCEQN-5117,1,1.0,1990,2011
162,FCEQN,FCEQN-5120,1,1.0,1991,2011
163,FCEQN,FCEQN-5121,2,1.0,1993,2011
164,FCEQN,FCEQN-5122,2,1.0,1984,2011
165,FCEQN,FCEQN-5123,1,1.0,1992,2011
166,FCEQN,FCEQN-5124,1,1.0,1991,2009
167,FCEQN,FCEQN-5126,2,1.0,1989,2011
168,FCEQN,FCEQN-5128,2,1.0,1991,2011
169,FCEQN,FCEQN-5129,2,1.0,1992,2011
170,FCEQN,FCEQN-5131,2,1.0,1993,2011
171,FCEQN,FCEQN-5134,1,1.0,1991,2011
172,FCEQN,FCEQN-5135,2,1.0,1992,2011
173,FCEQN,FCEQN-5139,2,1.0,1991,2011
174,FCEQN,FCEQN-5140,2,1.0,1992,2011
175,FCEQN,FCEQN-5141,2,1.0,1993,2011
176,FCEQN,FCEQN-5143,1,1.0,1992,2011
177,FCEQN,FCEQN-5144,2,1.0,1993,2011
178,FCEQN,FCEQN-5145,2,1.0,1992,2011
179,FCEQN,FCEQN-5148,2,1.0,1993,2011
180,FCEQN,FCEQN-5152,2,1.0,1992,2010
181,FCEQN,FCEQN-5160,2,1.0,1991,2011
182,FCEQN,FCEQN-5161,2,1.0,202,2011
183,FCEQN,FCEQN-5162,2,1.0,1992,2011
184,FCEQN,FCEQN-5163,2,1.0,1989,2011
185,FCEQN,FCEQN-5164,2,1.0,1992,2011
186,FCEQN,FCEQN-5165,2,1.0,1992,2011
187,FCEQN,FCEQN-5170,2,1.0,1993,2011
188,FCEQN,FCEQN-5171,1,1.0,1993,2010
189,FCEQN,FCEQN-5174,2,1.0,1992,2011
190,FCEQN,FCEQN-5177,2,1.0,1985,2011
191,FCEQN,FCEQN-5180,2,1.0,1967,2011
192,FCEQN,FCEQN-5181,2,1.0,1992,2011
193,FCEQN,FCEQN-5182,2,1.0,1988,2011
194,FCEQN,FCEQN-5183,2,1.0,1993,2011
195,FCEQN,FCEQN-5197,2,1.0,1992,2011
196,FCEQN,FCEQN-5201,2,1.0,1974,2011
197,FCEQN,FCEQN-5203,2,1.0,1992,2011
198,FCEQN,FCEQN-5202,1,1.0,1993,2010
199,FCEQN,FCEQN-5206,1,1.0,1987,2010
200,FCEQN,FCEQN-5207,2,1.0,1993,2011
201,FCEQN,FCEQN-5208,1,1.0,202,2011
202,FCEQN,FCEQN-5209,2,1.0,1992,2011
203,FCEQN,FCEQN-5217,1,1.0,1992,2011
204,FCEQN,FCEQN-5218,1,1.0,1993,2011
205,FCEQN,FCEQN-5220,2,1.0,1990,2011
206,FCEQN,FCEQN-5221,2,1.0,1993,2011
207,FCEQN,FCEQN-5235,2,1.0,1992,2010
208,FCEQN,FCEQN-5236,1,1.0,1987,2006
209,FCEQN,FCEQN-5239,2,1.0,1988,2004
210,FCEQN,FCEQN-5240,1,1.0,1991,2009
211,FCEQN,FCEQN-5244,2,1.0,1993,2010
212,FCEQN,FCEQN-5246,1,1.0,1991,2011
213,FCEQN,FCEQN-5248,2,1.0,1993,2011
214,FCEQN,FCEQN-5250,2,1.0,1993,2011
215,FCEQN,FCEQN-5251,2,1.0,1991,2011
216,FCEQN,FCEQN-5255,1,1.0,1992,2010
217,FCEQN,FCEQN-5257,2,1.0,1993,2011
218,FCEQN,FCEQN-5260,1,1.0,1982,2011
219,FCEQN,FCEQN-5261,2,1.0,1987,2004
220,FCEQN,FCEQN-5263,2,1.0,1993,2011
221,FCEQN,FCEQN-5262,1,1.0,1993,2010
222,FCEQN,FCEQN-5265,1,1.0,1992,2010
223,FCEQN,FCEQN-5267,2,1.0,1992,2011
224,FCEQN,FCEQN-5268,2,1.0,1992,2011
225,FCEQN,FCEQN-5269,2,1.0,1993,2011
226,FCEQN,FCEQN-5272,1,1.0,1993,2011
227,FCEQN,FCEQN-5275,1,1.0,1992,2011
228,FCEQN,FCEQN-5276,1,1.0,1991,2011
229,FCEQN,FCEQN-5282,1,1.0,1993,2010
230,FCEQN,FCEQN-5283,2,1.0,1992,2011
231,FCEQN,FCEQN-5285,1,1.0,1993,2010
232,FCEQN,FCEQN-5286,2,1.0,1993,2011
233,FCEQN,FCEQN-5287,1,1.0,1993,2010
234,FCEQN,FCEQN-5294,1,1.0,1990,2011
235,FCEQN,FCEQN-5300,1,1.0,1992,2011
236,FCEQN,FCEQN-5302,1,1.0,1992,2011
237,FCEQN,FCEQN-5304,1,1.0,1992,2011
238,FCEQN,FCEQN-5305,1,1.0,983,2011
239,FCEQN,FCEQN-5307,1,1.0,1992,2011
240,FCEQN,FCEQN-5308,2,1.0,1993,2011
241,FCEQN,FCEQN-5310,1,1.0,1979,2011
242,FCEQN,FCEQN-5311,2,1.0,1992,2011
243,FCEQN,FCEQN-5313,1,1.0,1992,2011
244,FCEQN,FCEQN-5314,2,1.0,1992,2011
245,FCEQN,FCEQN-5317,2,1.0,1993,2011
246,FCEQN,FCEQN-5318,1,1.0,1993,2010
247,FCEQN,FCEQN-5319,1,1.0,1993,2011
248,FCEQN,FCEQN-5320,1,1.0,1991,2010
249,FCEQN,FCEQN-5325,2,1.0,1993,2010
250,FCEQN,FCEQN-5337,2,1.0,1993,2010
251,FCEQN,FCEQN-5338,2,1.0,1991,2011
252,FCEQN,FCEQN-5339,1,1.0,1992,2011
253,FCEQN,FCEQN-5341,1,1.0,1983,2011
254,FCEQN,FCEQN-5343,2,1.0,1990,2011
255,FCEQN,FCEQN-5344,2,1.0,1991,2011
256,FCEQN,FCEQN-5345,2,1.0,1993,2011
257,FCEQN,FCEQN-5351,1,1.0,1991,2011
258,FCEQN,FCEQN-5356,2,1.0,1993,2011
259,FCEQN,FCEQN-5357,1,1.0,1990,2010
260,FCEQN,FCEQN-5363,2,1.0,1991,2011
261,FCEQN,FCEQN-5368,1,1.0,1982,2011
262,FCEQN,FCEQN-5373,1,1.0,1982,2011
263,FCEQN,FCEQN-5374,1,1.0,1982,2011
264,FCEQN,FCEQN-5375,1,1.0,1982,2011
265,FCEQN,FCEQN-5376,1,1.0,1982,2011
266,FCEQN,FCEQN-5377,1,1.0,1982,2011
267,FCEQN,FCEQN-5380,2,1.0,1982,2011
268,FCEQN,FCEQN-5381,1,1.0,1982,2011
269,FCEQN,FCEQN-5388,2,1.0,1992,2011
270,FCEQN,FCEQN-5400,2,1.0,1993,2011
271,FCEQN,FCEQN-5402,2,1.0,1992,2011
272,FCEQN,FCEQN-5412,1,1.0,1992,2011
273,FCEQN,FCEQN-5415,2,1.0,1993,2011
274,FCEQN,FCEQN-5416,2,1.0,1993,2011
275,FCEQN,FCEQN-5421,1,1.0,1992,2011
276,FCEQN,FCEQN-5423,1,1.0,1993,2011
277,FCEQN,FCEQN-5424,2,1.0,1993,2011
278,FCEQN,FCEQN-5425,2,1.0,1992,2011
279,FCEQN,FCEQN-5428,2,1.0,1993,2011
280,FCEQN,FCEQN-5429,2,1.0,1993,2011
281,FCEQN,FCEQN-5434,1,1.0,1992,2011
282,FCEQN,FCEQN-5436,1,1.0,1992,2011
283,FCEQN,FCEQN-5442,1,1.0,1991,2011
284,FCEQN,FCEQN-5444,1,1.0,1993,2010
285,FCEQN,FCEQN-5445,2,1.0,1991,2011
286,FCEQN,FCEQN-5446,1,1.0,1993,2011
287,FCEQN,FCEQN-5455,2,1.0,1958,2011
288,FCEQN,FCEQN-5460,1,1.0,1993,2010
289,FCEQN,FCEQN-5463,2,1.0,1992,2010
290,FCEQN,FCEQN-5473,1,1.0,1988,2011
291,FCEQN,FCEQN-5475,1,1.0,1991,2011
292,FCEQN,FCEQN-5481,2,2.0,1992,2011
293,FCEQN,FCEQN-5484,2,1.0,1992,2010
294,FCEQN,FCEQN-5485,1,1.0,1992,2011
295,FCEQN,FCEQN-5487,2,1.0,1994,2010
296,FCEQN,FCEQN-5492,1,1.0,1992,2011
297,FCEQN,FCEQN-5496,2,1.0,1990,2009
298,FCEQN,FCEQN-5497,1,1.0,1964,2011
299,FCEQN,FCEQN-5499,1,1.0,1988,2011
300,FCEQN,FCEQN-5501,2,1.0,1992,2011
301,FCEQN,FCEQN-5502,2,1.0,1993,2011
302,FCEQN,FCEQN-5503,1,1.0,1991,2011
303,FCEQN,FCEQN-5504,2,1.0,1992,2011
304,FCEQN,FCEQN-5506,2,1.0,1991,2011
305,FCEQN,FCEQN-5507,2,1.0,1992,2011
306,FCEQN,FCEQN-5515,1,1.0,1992,2011
307,FCEQN,FCEQN-5520,2,1.0,1992,2011
308,FCEQN,FCEQN-5521,2,1.0,1991,2011
309,FCEQN,FCEQN-5522,2,1.0,1992,2011
310,FCEQN,FCEQN-5523,2,1.0,1992,2011
311,FCEQN,FCEQN-5524,2,1.0,1993,2011
312,FCEQN,FCEQN-5525,2,1.0,1993,2011
313,FCEQN,FCEQN-5526,2,1.0,1989,2011
314,FCEQN,FCEQN-5529,2,1.0,1992,2011
315,FCEQN,FCEQN-5530,1,1.0,1989,2011
316,FCEQN,FCEQN-5532,2,1.0,1992,2011
317,FCEQN,FCEQN-5534,2,1.0,1992,2011
318,FCEQN,FCEQN-5536,1,1.0,1993,2011
319,FCEQN,FCEQN-5541,2,1.0,1993,2011
320,FCEQN,FCEQN-5543,2,1.0,1993,2011
321,FCEQN,FCEQN-5544,2,1.0,1993,2011
322,FCEQN,FCEQN-5550,1,1.0,1987,2011
323,FCEQN,FCEQN-5551,2,1.0,1992,2011
324,FCEQN,FCEQN-5565,2,1.0,1988,2011
325,FCEQN,FCEQN-5567,2,1.0,1992,2011
326,FCEQN,FCEQN-5570,1,1.0,1992,2011
327,FCEQN,FCEQN-5571,1,1.0,202,2011
328,FCEQN,FCEQN-5573,1,1.0,1989,2011
329,FCEQN,FCEQN-5578,2,1.0,1993,2011
330,FCEQN,FCEQN-5580,2,1.0,1991,2011
331,FCEQN,FCEQN-5581,2,1.0,1990,2011
332,FCEQN,FCEQN-5584,2,1.0,1985,2011
333,FCEQN,FCEQN-5585,1,1.0,1991,2011
334,FCEQN,FCEQN-5588,1,1.0,1993,2011
335,FCEQN,FCEQN-5594,1,1.0,1987,2011
336,FCEQN,FCEQN-5595,1,1.0,1993,2011
337,FCEQN,FCEQN-5600,2,1.0,1986,2011
338,FCEQN,FCEQN-5602,2,1.0,1992,2011
339,FCEQN,FCEQN-5604,1,2.0,1102,2011
340,FCEQN,FCEQN-5605,2,1.0,1992,2011
341,FCEQN,FCEQN-5606,1,1.0,1991,2011
342,FCEQN,FCEQN-5612,2,1.0,1993,2011
343,FCEQN,FCEQN-5613,2,1.0,1992,2011
344,FCEQN,FCEQN-5614,2,1.0,1986,2011
345,FCEQN,FCEQN-5615,1,1.0,1993,2011
346,FCEQN,FCEQN-5617,2,1.0,1991,2011
347,FCEQN,FCEQN-5622,1,1.0,1992,2011
348,FCEQN,FCEQN-5625,2,1.0,1993,2011
349,FCEQN,FCEQN-5627,2,1.0,1992,2011
350,FCEQN,FCEQN-5629,2,1.0,1991,2008
351,FCEQN,FCEQN-5631,2,2.0,1993,2011
352,FCEQN,FCEQN-5324,2,1.0,1993,2011
353,FCEQN,FCEQN-5636,1,1.0,1992,2011
354,FCEQN,FCEQN-5639,2,1.0,1993,2011
355,FCEQN,FCEQN-5641,1,1.0,1992,2011
356,FCEQN,FCEQN-5648,2,1.0,1992,2011
357,FCEQN,FCEQN-5650,2,1.0,1993,2011
358,FCEQN,FCEQN-5651,1,1.0,1990,2011
359,FCEQN,FCEQN-5652,2,1.0,1993,2011
360,FCEQN,FCEQN-5667,1,1.0,1992,2011
361,FCEQN,FCEQN-5668,1,1.0,1992,2011
362,FCEQN,FCEQN-5671,1,1.0,1993,2011
363,FCEQN,FCEQN-5672,2,1.0,1992,2011
364,FCEQN,FCEQN-5679,2,1.0,1992,2011
365,FCEQN,FCEQN-5683,2,1.0,1990,2011
366,FCEQN,FCEQN-5686,2,1.0,1989,2011
367,FCEQN,FCEQN-5687,2,1.0,1991,2011
368,FCEQN,FCEQN-5692,1,1.0,1983,2011
369,FCEQN,FCEQN-5696,1,1.0,1993,2011
370,FCEQN,FCEQN-5698,1,1.0,1992,2011
371,FCEQN,FCEQN-5699,2,1.0,1993,2011
372,FCEQN,FCEQN-5703,1,1.0,1990,2011
373,FCEQN,FCEQN-5704,1,1.0,1992,2011
374,FCEQN,FCEQN-5705,2,1.0,1992,2011
375,FCEQN,FCEQN-5706,1,1.0,1992,2011
376,FCEQN,FCEQN-5707,1,1.0,1980,2011
377,FCEQN,FCEQN-5709,1,1.0,1990,2011
378,FCEQN,FCEQN-5711,1,1.0,1990,2011
379,FCEQN,FCEQN-5712,1,1.0,1993,2011
380,FCEQN,FCEQN-5716,2,1.0,1993,2011
381,FCEQN,FCEQN-2334,1,1.0,1988,2011
382,FCEQN,FCEQN-5720,2,1.0,1993,2011
383,FCEQN,FCEQN-5725,2,1.0,1992,2011
384,FCEQN,FCEQN-5726,2,2.0,1988,2011
385,FCEQN,FCEQN-5727,2,1.0,1993,2011
386,FCEQN,FCEQN-5728,1,1.0,1992,2011
387,FCEQN,FCEQN-5729,1,1.0,1991,2011
388,FCEQN,FCEQN-5734,2,1.0,1992,2011
389,FCEQN,FCEQN-5735,2,1.0,1991,2011
390,FCEQN,FCEQN-5738,2,1.0,1992,2011
391,FCEQN,FCEQN-5741,2,1.0,1991,2011
392,FCEQN,FCEQN-5743,1,1.0,1992,2011
393,FCEQN,FCEQN-5745,1,1.0,1988,2011
394,FCEQN,FCEQN-5748,2,1.0,1981,2011
395,FCEQN,FCEQN-5385,2,1.0,1982,2011
396,FCEQN,FCEQN-5749,2,1.0,1991,2011
397,FCEQN,FCEQN-5757,1,1.0,1992,2011
398,FCEQN,FCEQN-5761,1,1.0,1993,2011
399,FCEQN,FCEQN-5762,2,1.0,1992,2011
400,FCEQN,FCEQN-5766,1,1.0,1992,2011
401,FCEQN,FCEQN-5767,1,1.0,1993,2011
402,FCEQN,FCEQN-5367,2,1.0,1992,2011
403,FCEQN,989,1,1.0,1980,1996
404,FCEQN,FCEQN-5773,2,1.0,1986,2011
405,FCEQN,FCEQN-5168,2,1.0,1993,2011
406,FCEQN,FCEQN-5774,1,1.0,1992,2011
407,FCEQN,FCEQN-5775,1,1.0,1992,2011
408,FCEQN,FCEQN-5776,2,1.0,1983,2011
409,FCEQN,FCEQN-5576,1,1.0,1991,2011
410,FCEQN,FCEQN-5624,2,1.0,1991,2009
411,FCEQN,FCEQN-4891,2,1.0,1991,2009
412,FCEQN,FCEQN-5782,2,1.0,1981,2011
413,FCEQN,FCEQN-5747,1,1.0,1992,2009
414,FCEQN,FCEQN-4621,2,1.0,1991,2011
415,FCEQN,FCEQN-5783,1,1.0,1993,2010
416,FCEQN,FCEQN-5392,2,1.0,1993,2010
417,FCEQN,FCEQN-5155,2,1.0,1993,2010
418,FCEQN,FCEQN-5281,2,1.0,1992,2009
419,FCEQN,FCEQN-5190,2,1.0,1992,2011
420,FCEQN,FCEQN-5784,2,1.0,1991,2009
421,FCEQN,FCEQN-5417,2,1.0,1993,2010
422,FCEQN,FCEQN-5387,1,1.0,1982,2011
423,FCEQN,FCEQN-5572,2,1.0,1993,2011
424,FCEQN,FCEQN-5228,1,1.0,1993,2010
425,FCEQN,FCEQN-5489,2,1.0,1993,2011
426,FCEQN,FCEQN-5478,2,1.0,1992,2010
427,FCEQN,FCEQN-5792,2,1.0,1991,2011
428,FCEQN,FCEQN-5793,2,1.0,1993,2011
429,FCEQN,FCEQN-5456,1,1.0,1992,2009
430,FCEQN,FCEQN-5619,2,1.0,1992,2011
431,FCEQN,FCEQN-5723,2,1.0,1992,2011
432,FCEQN,FCEQN-5420,2,1.0,1992,2011
433,FCEQN,FCEQN-5467,2,1.0,1993,2011
434,FCEQN,FCEQN-5645,2,1.0,1992,2011
435,FCEQN,FCEQN-5348,1,1.0,1988,2011
436,FCEQN,FCEQN-5722,1,1.0,1993,2011
437,FCEQN,FCEQN-5628,2,1.0,1992,2010
438,FCEQN,FCEQN-5166,2,1.0,1993,2011
439,FCEQN,FCEQN-5474,1,1.0,1992,2010
440,FCEQN,FCEQN-5799,2,1.0,1993,2011
441,FCEQN,FCEQN-5750,2,1.0,1993,2011
442,FCEQN,FCEQN-5472,2,1.0,1992,2009
443,FCEQN,FCEQN-5469,2,1.0,1993,2010
444,FCEQN,FCEQN-5800,1,1.0,1992,2011
445,FCEQN,FCEQN-5717,1,1.0,1993,2010
446,FCEQN,FCEQN-5245,1,1.0,1990,2011
447,FCEQN,FCEQN-5214,1,1.0,1993,2010
448,FCEQN,FCEQN-5730,1,1.0,1992,2011
449,FCEQN,FCEQN-5592,1,1.0,1992,2011
450,FCEQN,FCEQN-5694,2,2.0,1992,2009
451,FCEQN,FCEQN-5293,1,1.0,1990,2011
452,FCEQN,FCEQN-5483,2,1.0,1992,2011
453,FCEQN,FCEQN-5279,1,1.0,1992,2011
454,FCEQN,1057,2,1.0,1979,2011
455,FCEQN,FCEQN-5198,2,1.0,1993,2011
456,FCEQN,FCEQN-5188,2,1.0,1993,2011
457,FCEQN,4996,1,1.0,1979,2011
458,FCEQN,FCEQN-5807,2,1.0,1985,2002
459,FCEQN,FCEQN-5169,2,1.0,1993,2011
460,FCEQN,FCEQN-5733,2,2.0,1993,2011
461,FCEQN,FCEQN-5808,2,1.0,1957,1974
462,FCEQN,FCEQN-5433,2,2.0,1992,2011
463,FCEQN,FCEQN-5697,2,1.0,1993,2011
464,FCEQN,FCEQN-5620,2,1.0,1993,2011
465,FCEQN,FCEQN-5765,1,1.0,1991,2011
466,FCEQN,FCEQN-5495,1,1.0,1992,2011
467,FCEQN,FCEQN-5390,1,1.0,1992,2011
468,FCEQN,FCEQN-5297,2,1.0,1992,2011
469,FCEQN,FCEQN-5295,2,1.0,1993,2011
470,FCEQN,FCEQN-5542,2,1.0,1993,2011
471,FCEQN,FCEQN-5659,1,1.0,1992,2011
472,FCEQN,FCEQN-5233,1,1.0,1993,2011
473,FCEQN,FCEQN-5383,2,1.0,1982,2011
474,FCEQN,FCEQN-5195,2,1.0,1992,2011
475,FCEQN,FCEQN-5398,1,1.0,1993,2010
476,FCEQN,FCEQN-5630,2,2.0,1993,2010
477,FCEQN,FCEQN-5391,2,1.0,1993,2011
478,FCEQN,FCEQN-5112,2,1.0,1991,2011
479,FCEQN,FCEQN-5649,1,1.0,1993,2010
480,FCEQN,FCEQN-5312,2,1.0,1990,2011
481,FCEQN,5863,2,1.0,1978,2011
482,FCEQN,60,1,1.0,1978,2011
483,FCEQN,309,2,1.0,1969,2011
484,FCEQN,428,1,1.0,1971,1992
485,FCEQN,775,1,1.0,1976,2011
486,FCEQN,1041,2,1.0,1979,2011
487,FCEQN,1568,2,1.0,1982,2011
488,FCEQN,3365,2,2.0,1981,2011
489,FCEQN,1963,2,1.0,1981,2011
490,FCEQN,2010,2,1.0,1981,2011
